title,author,publisher,date,format,contrib_personal,contrib_corporate,location
Desire : the collective unconscious /,"Stokes, Telfer.","Nexus Press,",1989.,1 v. (unpaged) : col. ill. ;,,Nexus Press.Weproductions.,SEVIER N7433.4 .S75 A4 1989
Cántico de la huella /,"Morejón, Nancy, 1944-","Ediciones Vigía,",[2002],2 leaves : ill. ;,"Ponce, Augustina Estévez Jordán, Rolando, 1950-",Ediciones Vigía.Cuba.,SEVIER-OV PQ7390 .M68 C36 2002
Jerusalem /,"Blake, William, 1757-1827.","Spoon Print Press,",1995.,[12] p. : ill. ;,"Landers, Linda Anne.",Spoon Print Press.,SEVIER PR4144 .J4 1995
Song /,"Blake, William, 1757-1827.","Spoon Print Press,",2001.,1 folded sheet ([7] p.) : col. ill. ;,"Landers, Linda Anne.",Spoon Print Press.,SEVIER PR4144 .S4 2001
Spring /,"Blake, William, 1757-1827.","Spoon Print Press,",1993.,1 folded sheet (8 p.) : ill. ;,"Landers, Linda Anne.",Spoon Print Press.,SEVIER PR4144 .S7 1993
Portillo de la Luz : cancionero mínimo /,"Portillo de la Luz, César, 1922-2013","Ediciones Vigía,",[2002],35 p. of music : ill. ;,"Valdés, Marta, 1934- Hernández Benítez, Leticia. Estévez Jordán, Rolando, 1950- Ramos, Enrique, 1961-",Ediciones Vigía.,SEVIER-OV M1681 .C9 P675 2002
Temblor bajo la piedra /,"Oliver Labra, Carilda.","Ediciones Vigía,",2002.,1 v. : col. ill. ;,"Estévez Jordán, Rolando, 1950-",Ediciones Vigía.,SEVIER-OV PQ7390 .O38 T35 2002
Baiguana y el pez embrujado /,"Rodríguez Hernández, Leovigildo, 1925-","Ediciones Vigía,",2002.,115 p. : ill. ;,"Hernández, Manuel. Ramos, Enrique, 1961-",Ediciones Vigía.,SEVIER GR121 .C8 R637 2002
North American bear : poems /,"Wright, Charles, 1935-","Sutton Hoo Press,",[c1999],[30] p. : ill. ;,"Young, Gary, 1951-",Sutton Hoo Press.,SOUTHCV-OV PS3573 .R52 N67 1999
Elephants.,"Burnett, Emily.","Emily Burnett,",1995.,"[5] p., [4] leaves of plates : ill. ;",,,SEVIER N7433.4 .B865 E447 1995
