title,author,pub_loc,publisher,date,format,contrib_personal,contrib_corporate,genre,location
Desire : the collective unconscious /,"Stokes, Telfer.",gau,"Nexus Press,",1989.,1 v. (unpaged) : col. ill. ;,,Nexus Press.Weproductions.,,SEVIER N7433.4 .S75 A4 1989
Eye think a lot about potatoes : they make me quite round : 11 vignettes /,"Brannon, Frank.",ncu,"SpeakEasy Press,",2008.,[15] p. : ill. ;,,SpeakEasy Press.,,SOUTHERNCV PN6231 .P66 B736 2008
Spiritual photography.,,flu,"ZI,",c1973.,36 p. : chiefly ill. ;,,Zephyrus Image (Firm),,SEVIER N7433.4 .Z47 S657 1973
[Crab].,"Farkas, Andy.",ncu,"Andy Farkas?,",2010],[7] leaves : 1 ill. ;,,,Artists' books--North Carolina--Asheville,SOUTHERNCV N7433.4 .F375 C73 2010
River /,"Farkas, Andy.",ncu,"Andy Farkas?,",2010],[19] p. : col. ill. ;,,Cave Paper (Firm),Accordion fold format (Binding)--North Carolina--Asheville Woodcuts (prints),SOUTHCV-OV N7433.4 .F375 R58 2010
Our acreage ; Lux carnis /,"Viz, Anel.",alu,"Doppelganger Press,",2007.,"29, [22] p. : ill. ;","Thomson, Laura J. Viz, Anel.",Doppelganger Press.,,SOUTHERNCV PS3622 .I9 O97 2007
Fibre libre /,,flu,"Flatbed Splendor,",[2010],1 v. (unpaged) : col. ill. ;,"Elmer, Bridget. Bookwalter, Denise.",Flatbed Splendor (Firm)Small Craft Advisory Press.,,SOUTHERNCV N7433.4 .F537 2010
We can go beyond it : an artist's book /,"Elmer, Bridget.",flu,"Flatbed Splendor,",2009.,1 v. (unpaged) : chiefly col. ill. ;,"Kyle, Hedi.",Flatbed Splendor (Firm),Accordion fold format (Binding)--Florida,SOUTHERNCV N7433.4 .E46 W43 2009
Ghost towns of the Enchanted Circle /,"Poch, John, 1966-",flu,"Flying Horse Editions/H2O Graphics,",c2006.,"[21] p., [6] leaves of plates : col. ill. ;","Burkhart, Ryan. Cooper, Larry (Bookbinder)",Flying Horse Editions.H2O Graphics.,,SOUTHERNCV PS3616 .O28 G49 2006
Lonely Tylenol /,"Mesmer, Sharon.",flu,"Flying Horse Editions/H20 Graphics, University of Central Florida,",2003.,1 v. (unpaged) : col. ill. ;,"Humphrey, David, 1955- Burkhart, Ryan. Cooper, Larry (Bookbinder)",Flying Horse Editions.H2O Graphics.,,SOUTHCV-OV PS3563 .E74628 L66 2003
The myth of Sisyphus /,"Camus, Albert, 1913-1960.",ncu,"Fulcrum Press,",2007.,[25] p. : ill. ;,"O'Brien, Justin, 1906-1968. Heidenheimer, Patricia Holburd.",Fulcrum Press.,,SOUTHCV-OV PQ2605 .A3734 M913 2007
{Friend} {to sea} and {soil} /,"Burkhart, Ryan.",flu,"H2O Graphics,",2004.,1 v. (unpaged) : chiefly col. ill. ;,"Cooper, Larry (Bookbinder)",H2O Graphics.,,SOUTHERNCV N7433.4 .B866 F75 2004
"Dixie compass : short stories, prints, and photographs /","Francis, Ke.",flu,"Hoopsnake Press,",2004.,[43] p. : ill. (chiefly col.) ;,"Cooper, Larry (Bookbinder)",Hoopsnake Press.Gardyloo Handmade Books.,Artists' books--Florida--Orlando,SOUTHCV-OV N7433.4 .F695 D59 2004
Celestial hitchhikers /,"Francis, Ke.",flu,"Hoopsnake Press,",[2005?],"1 v. (unpaged) : col. ill., col. maps, port. ;","Cooper, Larry (Bookbinder)",Hoopsnake Press.,,SOUTHCV-OV N7433.4 .F695 C45 2005
Jugline : a fish tale and a portfolio of prints /,"Francis, Ke.",msu,"Hoopsnake Press,",1992.,"8, [1] p., ix p. of plates : ill. (some col..) ;","Cooper, Larry (Bookbinder)",Hoopsnake Press.,,SOUTHCV-OV N7433.4 .F695 J84 1992
Chasing the sun /,"Hamrick, Frank, 1977-",lau,"[F. Hamrick],",c2010.,[13] p. : ill. ;,,,,SOUTHERNCV N7433.4 .H3547 C47 2010
Ma'Cille's Museum of Miscellanea : an incomplete catalog of the collection /,"Peterson, Jessica.",alu,"Jessica Peterson,",2011],"78 p. : ill., map ;","House, Glenn.",,Artists' books--Alabama--Gordo,SOUTHERNCV AM101 .G625 P48 2011
Cause and effect /,"Peterson, Jessica.",alu,"J. Peterson],",2009.,"[30] p. (on double leaves) : facsims., folded map ;",,,,SOUTHERNCV N7433.4 .P478 C38 2009
"Witness, 1956.","Peterson, Jessica.",alu,"Paper Souvenir,",2007.,8 p. ;,,,,SOUTHERNCV N7433.4 .P478 W58 2007
Indivisible /,"Lazer, Hank.",alu,"University of Alabama ;Taller Experimental de Gráfica,",2011],[24] p. : ill. (some col.) ;,"Peña Peralta, Julio César. Rodríguez, Daniel Alberto. Schnepf, Michael A. (Michael Allen), 1951- Nevarez, Ally. Embree, Anna. Miller, Steve, 1950- Faulkenberry, Lauren, 1978- Harding, Kerri. Parkel, Sara.","University of Alabama.Taller Experimental de Gráfica (Havana, Cuba)University of Alabama.",,SOUTHERNCV PS3562 .A984 I53 2011
Havana : a living city /,"Leal Spengler, Eusebio, 1942-",alu,"Parallel Editions,",2009.,[26] p. : ill. (some col.) ;,"Ramírez, Angel Manuel, 1954- Vargas, Maria. Embree, Anna. Miller, Steve, 1950- Griffin, Lark. Kerksieck, Friedrich. Peterson, Jessica. Tipps, Emily.","Parallel Editions.University of Alabama.Colegio Universitario San Gerónimo de La Habana.Havana (Cuba).Taller Experimental de Gráfica (Havana, Cuba)University of Alabama.",,SOUTHCV-OV F1799 .H34 L435 2009
Design = Diseño /,"Collins, Billy.",alu,"Parallel Editions,",2005.,[43] p. : ill. ;,"Vargas, Maria. Moreno, Carlos Ayress. Embree, Anna. Miller, Steve, 1950-",Parallel Editions.University of Alabama.,Linocuts--Cuba,SOUTHERNCV PS3553 .O47478 D47 2005
Vertigo /,"Pirkle, Amy.",alu,"Perkolator Press,",2011.,[12] p. : chiefly col. ill. ;,,Perkolator Press.,,SOUTHERNCV N7433.4 .P544 V47 2011
Happiness : happiness is-- /,"Pirkle, Amy.",alu,"Perkolator Press,",2010.,[12] p. : col. ill. ;,,Perkolator Press.,,SOUTHERNCV N7433.4 .P544 H37 2010
Sleep patterns /,"Pirkle, Amy.",alu,"Perkolator Press,",2009.,[32] p. : col. ill. ;,,Perkolator Press.,,SOUTHERNCV N7433.4 .P544 S57 2009
When you are old /,"Yeats, W. B. (William Butler), 1865-1939.",alu,"Perkolator Press,",2006.,1 folded sheet : col. ill. ;,"Pirkle, Amy.",Perkolator Press.,,SOUTHERNCV PR5904 .W38 2006
Gravity's light grip /,"Johnston, Gordon, 1967-",alu,"Perkolator Press,",2007.,1 folded sheet : col. ill. ;,"Pirkle, Amy.",Perkolator Press.,,SOUTHERNCV PS3610 .O386 G73 2007
The river /,"Pirkle, Amy.",alu,"Perkolator Press,",2010.,[16] p. : chiefly col. ill. ;,,Perkolator Press.,,SOUTHERNCV N7433.4 .P544 R58 2010
Daily bread /,"Pirkle, Amy.",alu,"Perkolator Press,",2006.,[16] p. : col. ill. ;,,Perkolator Press.,,SOUTHERNCV N7433.4 .P544 D35 2006
Smoke /,"Pirkle, Amy.",alu,"Perkolator Press,",[2008],1 box (8 rolled sheets) ;,,Perkolator Press.,,SOUTHERNCV N7433.4 .P544 S66 2008
Heart of all greatness /,"Mitcham, Judson.",alu,"Perkolator Press,",2006.,1 folded sheet : col. ill. ;,"Pirkle, Amy. Mitcham, Judson.",Perkolator Press.,,SOUTHERNCV PS3563 .I7356 H43 2006
Splinter of light /,"Collins, Billy.",alu,"Perkolator Press,",2006.,1 folded sheet : col. ill. ;,"Pirkle, Amy.",Perkolator Press.,,SOUTHERNCV PS3553 .O47478 S65 2006
Ideas of god : a ceaseless wandering pa-limp-sest bōk : an opuscule of tiny mirrors seeking a single grand image.,"Laxson, Ruth.",gau,"Press 63 Plus],",c2008.,[37] p. : ill. ;,,Press 63+,Artists' books--Georgia--Atlanta,SOUTHCV-OV N7433.4 .L39 I34 2008
A hundred years of-- LEX FLEX /,"Laxson, Ruth.",gau,"Nexus Press,",c2003.,[52] p. : ill. (some col.) ;,"Freeman, Brad, 1951-",Nexus Press.,,SOUTHCV-OV N7433.4 .L39 H86 2003
"Mythos, chronos, logos /","Laxson, Ruth.",gau,"Press 63 Plus,",c2000.,[43] p. : ill. ;,,Press 63+.,,SOUTHERNCV N7433.4 .L39 M98 2000
Muse measures /,"Laxson, Ruth.",gau,"Press 63 plus,",c1999.,[53] p. : ill. ;,,Press 63+,,SOUTHERNCV N7433.4 .L39 M87 1999
Wheeling /,"Laxson, Ruth.",gau,"Press 63 Plus,",c1992.,[38] p. : ill. ;,,Press 63+,,SOUTHERNCV N7433.4 .L39 W477 1992
Cradle of civilization /,"Peven, Michael.",aru,"Primitive Press,","2011, c1993.",1 sheet : col. ill. ;,"Sunzi, active 6th century B.C.",,,SOUTHERNCV N7433.4 .P485 C73 2011
Slugs and roses : an essay on beauty and survival /,"Peven, Michael.",aru,"Primitive Press,","2007/08, c2000.",[50] p. : col. ill. ;,,Primitive Press.,Artists' books--Arkansas--Fayetteville Accordion fold format (Binding)--Arkansas--Fayetteville,SOUTHERNCV N7433.4 .P485 S59 2008
Open-- heart surgery /,"Peven, Michael.",aru,"Primitive Press,",2006.,1 v. (unpaged) : chiefly col. ill. ;,,Primitive Press.,,SOUTHERNCV N7433.4 .P485 O64 2006 SOUTHERNCV N7433.4 .P485 O64 2006
Scenes from the trip so far : a souvenir album of drive by shootings taken during travels throughout the United States of America in 2001 and 2003 : in colour! /,"Peven, Michael.",aru,"Primitive Press,",c2004.,1 sheet : col. ill. ;,,Primitive Press.,Artists' books--Arkansas--Fayetteville Accordion fold format (Binding)--Arkansas--Fayetteville,SOUTHERNCV N7433.4 .P485 S28 2004
Manmade wonders /,"Peven, Michael.",aru,"M. Peven],",c1979.,6 v. : chiefly ill. (col.) ;,,,,SOUTHERNCV N7433.4 .P485 M36 1979
--or the opposite /,"Wehner, Mary.",alu,"Red Hydra Press,",2007.,[36] p. : ill. ;,"Marshall, Jane. Miller, Steve, 1950-",Red Hydra Press.Büttenpapierfabrik Hahnemühle.Penland School of Crafts.,Typefaces (Type evidence)--Chaparral Pro.,SOUTHERNCV PS3623 .E4227 O7 2007
The dogs of Havana = Los perros de La Habana /,"Collum, Cade.",alu,"Red Hydra Press,",2008.,[24] p. (first [2] p. and last p. blank) : col. ill. (linocuts) ;,"Peña Peralta, Julio César. Miller, Steve, 1950- Vargas, Maria.",Red Hydra Press.Papierfabrik Zerkall Renker & Söhne.Penland School of Crafts.,Linocuts--Cuba Linocuts--Cuba--Havana Typefaces (Type evidence)--Bembo.,SOUTHERNCV PS3603 .O4567 D64 2008
Skin /,"Kaplan, Dan, 1971-",alu,"Red Hydra Press,",[2005].,12 unnumbered pages : illustrations ;,"Kaplan, Dan, 1971- Kaplan, Dan, 1971- Peña Peralta, Julio César, Vargas, Maria, Miller, Steve, 1950- Embree, Anna.",Red Hydra Press.,Artists' books--Alabama--Tuscaloosa Linocuts (prints),SOUTHERNCV PS3611 .A648 S55 2005
The flea market in Kiel /,"Warsh, Lewis.",alu,"The Rest P[ress],",c2006.,[23] p. ;,"Masterson, Patrick, M.F.A.",Rest Press (Firm),,SOUTHERNCV PS3573 .A782 F57 2006
Binder /,"Merola, Kristen.",flu,"Small Craft Advisory Press at Florida State University,",2010],[26] p. : ill. ;,"Shaw, Tate.",Small Craft Advisory Press.,,SOUTHERNCV N7433.4 .M476 B56 2010
Days have gone by /,"Frazer, Colin.",flu,"Colin Frazer,",2010],1 v. (unpaged) ; col. ill. ;,,Small Craft Advisory Press.,,SOUTHERNCV N7433.4 .F739 D39 2010
Spandrel /,"Bookwalter, Denise.",flu,"Small Craft Advisory Press,",2011.,1 v. (unpaged) ;,"Giampietro, Frank, 1969-",,,SOUTHCV-OV N7433.4 .B66 S63 2011
Abandoned tales /,"Lee, Michael J. (Michael Jeffrey)",alu,"Small Fires Press,",[2009],[22] p. : col. ill. ;,"Weaver, Cherie. Kerksieck, Friedrich.",Small Fires Press.,,SOUTHERNCV PS3612 .E346 A63 2009
"I, NE : iterations of the junco /",,alu,"Small Fires Press,",[2009],[36] p. : ill. ;,"Chávez, John M., 1973- Gannon, Megan. May, Rachel. Ware, Joshua. Perry, Meaghan. Kerksieck, Friedrich.",Small Fires Press.,,SOUTHERNCV PS595 .J86 I13 2009
"Live, from the delay /","Flaherty, Ryan.",alu,"Small Fires Press,",[2009],[12] p. : facsims. ;,"Kerksieck, Friedrich.",Small Fires Press.,,SOUTHERNCV PS3606 .L344 L58 2009
Some bridges migrate /,"Pierce, Scott, 1975-",alu,"Small Fires Press,",[2008],[11] p. : col. ill. ;,"Weaver, Cherie. Kerksieck, Friedrich.",Small Fires Press.,,SOUTHERNCV PS3616 .I358 S66 2008
Cob webs /,"Swan, Laura.",alu,"Small Fires Press,",2007.,[8] p. : chiefly ill. ;,,Small Fires Press.,,SOUTHERNCV PN6727 .S936 C63 2007
When we broke the microscope /,"Cohen, Julia.",alu,"Small Fires Press,",2007],32 p. : col. ill. ;,"Svalina, Mathias. Weaver, Cherie. Kerksieck, Friedrich.",Small Fires Press.,,SOUTHERNCV PS3603 .O366 W44 2007
"From Khunk to Chunk® : an apology, or, at the very least, confession enumerating the author's activities aiding the promotion of a product illegal & dangerous though at times sold on legitimate white markets, along the way explaining the history of a trademark and why it has remained popular to this day /","Gould, Erasmus.",alu,"Small Fires Press,",[2008],10 p. : 1 ill. ;,"Chambers, Alex (College teacher) Weaver, Cherie. Kerksieck, Friedrich. Clark, Amanda (Papermaker)",Small Fires Press.,Artists' books--Alabama--Tuscaloosa,SOUTHERNCV PS3607 .O8846 F76 2008
The wheat wars : an historical sketch of the rise & fall of wheat in the twentieth century : with special attention given to the role of the author in the adventures described herein /,"Gould, Erasmus.",alu,"Small Fires Press,",[2008],14 p. : 1 ill. ;,"Chambers, Alex (College teacher) Weaver, Cherie. Kerksieck, Friedrich. Clark, Amanda (Papermaker)",Small Fires Press.,Artists' books--Alabama--Tuscaloosa,SOUTHERNCV PS3607 .O8846 W48 2008
Voyage(r) : [tourist map to Japan] /,"Sligh, Clarissa T.",gau,"Nexus Press,",2000.,1 v. (unpaged) : ill. ;,"Freeman, Brad, 1951-",Nexus Press.,,SOUTHERNCV N7433.4 .S58 T68 2000
Monroe's blues /,"Hughes, Langston, 1902-1967.",flu,"Stephen Sidelinger,",2012],1 folded sheet ([10] p.) : ill. ;,"Sidelinger, Stephen J., 1947-",,,SOUTHCV-OV PS3515 .U274 M59 2012
[Sublime and ridiculous /,"Sidelinger, Stephen J., 1947-",flu,"Stephen Sidelinger,",2012],"2 v. ([28], [24] leaves) : all col. ill. ;",,,Artists' books--Florida--Venice Accordion fold format (Binding)--Florida--Venice,SOUTHERNCV N7433.4 .S53 S83 2012
The other side lingr /,"Sidelinger, Stephen J., 1947-",flu,"Stephen Sidelinger,",2012],1 v. (unpaged) : chiefly ill. ;,,,,SOUTHCV-OV N7433.4 .S53 O84 2012
Woulda coulda shoulda /,"Sidelinger, Stephen J., 1947-",flu,"Stephen Sidelinger,",2010],[54] leaves : col. ill. ;,,,Artists' books--Florida--Venice Line drawings (drawings) Gouaches (paintings),SOUTHCV-OV N7433.4 .S53 W68 2010
Make a face /,"Sidelinger, Stephen J., 1947-",flu,"Stephen Sidelinger,",20--?],[14] leaves : all col. ill. ;,,,Artists' books--Florida--Venice. Toy and movable books.,SOUTHCV-OV N7433.4 .S53 M35 2000z
Pussy pirates /,"Sidelinger, Stephen J., 1947-",flu,"Stephen Sidelinger,",20--],"1 portfolio : A single-instance (one of a kind) artist's book. Consists of 19 unbound bifolios on heavy paper, plus a title leaf on the same stock, in a portfolio of boards covered in green silk with ""PP"" embossed on front board. The second page of each bifolio contains a brief printed text, whimsical in tone, with handwritten additions of punctuation, emendations and/or decorations of the text. The third page of each bifolio bears an illustration executed in gouache and pen. Both the text and the illustration are bordered by plain sheets with appropriate cutouts mounted around them.  The portfolio is housed in a clamshell box (38 x 29 x 5 cm.) covered in wood-grain paper with faux metal straps and lined with green silk to match the portfolio. col. ill. ;",,,,SOUTHCV-OV N7433.4 .S53 P87 2000z
Tantric.,"Sidelinger, Stephen J., 1947-",xx ,,[1992?],8 art originals : ink and gouache on paper ;,,,Line drawings (drawings) Gouaches (paintings),SOUTHCV-OV N7433.4 .S53 T36 1992
Blue Ridge bounty /,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",c2010.,6 leaves : col. ill. ;,,Curious Pursuits Press.,Accordion fold format (Binding)--North Carolina--Boone,SOUTHERNCV N7433.4 .S43 B58 2010
Eight-word autumn scene /,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",c2010.,[10] leaves : col. ill. ;,,Curious Pursuits Press.,,SOUTHERNCV N7433.4 .S43 E54 2010
Sensual bark /,"Rezny, Mary S.,",kyu,"Mary S. Rezny,",2011],17 unnumbered pages : color illustrations ;,,,Artist's books--Kentucky--Lexington,SOUTHERNCV N7433.4 .R49 S46 2011
White bird-- /,"Rezny, Mary S.",kyu,"Mary S. Rezny],",2011.,[10] p. : chiefly col. ill. ;,,,Artists' books--Kentucky--Lexington Accordion fold format (Binding)--Kentucky--Lexington,SOUTHERNCV N7433.4 .R49 W48 2011
"Fish in the sky, OH MY! /","Rezny, Mary S.",kyu,"Mary S. Rezny],",c2010.,[12] p. : col. ill. ;,,,Artists' books--Kentucky--Lexington Toy and movable books. Pop-up books.,SOUTHERNCV N7433.4 .R49 F57 2010
Lissen here! /,"Jones, Dorothy Mallory.",gau,"s.n.,",2005?],[49] leaves : ill. (some col.) ;,"Jones, Philip Mallory.",,,SOUTHCV-OV PS3610 .O6244 L57 2005
Alabama kitchen : recipes for the Southerner and the Southerner-at-heart /,"Herlocker, Annie.",alu,"Paper Revival Press,",2010.,47 p. : ill. (some col.) ;,"Player, Lucy.",Paper Revival Press.,,SOUTHERNCV TX715.2 .S68 H475 2010
[Let's eat].,"Herlocker, Annie.",alu,"Paper Revival Press],",2009.,[12] p. : ill. (some col.) ;,,Paper Revival Press.,Artists' books--Alabama--Northport,SOUTHERNCV TX715.2 .S68 H47 2009
A tiny lesson in bee culture /,"Herlocker, Annie.",alu,"Wooden Nickel Press,",2008.,[7] p. : col. ill. ;,"Langstroth, L. L. (Lorenzo Lorraine), 1810-1895","Wooden Nickel Press (Northport, Ala.)",Artists' books. Accordion fold format (Binding). Paper bindings (Binding). Wrappers (Binding). Cover stock (Paper). Handmade papers (Paper). Trimmed edges (Paper). Handmade paper printings (Paper). Typefaces (Type evidence)--Gill Sans. Accordion fold books.,SOUTHERNCV N7433.4 .H475 T56 2008
Allowed to be /,"Herlocker, Annie.",alu,"Paper Revival Press,",2008.,[19] p. : ill. (some col.) ;,,Paper Revival Press.,Case bindings (Binding). Cloth bindings (Binding). Cotton fibers (Paper). Decorated papers (Paper). Hemp fibers (Paper). Handmade papers (Paper). Lace-papers (Paper). Trimmed edges (Paper). Manilla papers (Paper). Cloth printings (Printing). Handmade paper printings (Printing). Metal types (Type evidence). Typefaces (Type evidence)--Bembo.,SOUTHERNCV N7433.4 .H475 A45 2008
[Album chain book /,"Essig, Daniel, 1967-",ncu,"D. Essig,",2011],[128] leaves ;,,,,SOUTHERNCV N7433.4 .E88 A43 2011
[Horn book--fisher].,"Essig, Daniel, 1967-",xx ,,[2008],1 art original ;,,,Assemblages (sculpture),SOUTHCV-OV N7433.4 .E88 H676 2008
Gentle men /,"Blum, Alan, M.D.",alu,"Firebrand Press,",2011.,[32] p. : ill. ;,,Firebrand Press.,,SOUTHERNCV PS3602 .L86 G46 2011
Ladies in waiting /,"Blum, Alan, M.D.",alu,"Paper Souvenir,",2009.,[16] p. : ill. ;,,Paper Souvenir Press.,,SOUTHERNCV PS3602 .L86 L33 2009
[Ragland birds /,"Sampson, Mary Ann.",alu,"Mary Ann Sampson,",1994],[4] p. : all col. ill. ;,,,,SOUTHCV-OV N7433.4 .S25 R345 1994
"Howl at the moon, shoot out the lights : a book /","Sampson, Mary Ann.",alu,"One-Eye Opera Co.],",1997.,[17] p. : all col. ill. ;,,OEOCO Press.,,SOUTHCV-OV N7433.4 .S25 H69 1997
How bat entered English /,"Sharp, Sharon A.",ncu,"Sharon A. Sharp],",2010.,1 v. (unpaged) : ill. (some col.) ;,,,,SOUTHCV-OV N7433.4 .S43 H69 2010
Subject verb object /,"Knudson, Ellen.",flu,"Crooked Letter Press,",2012.,1 wheel chart : col. ill. ;,,Crooked Letter Press.,Artists' books--Florida. Movable books. Typefaces (Type evidence)--Stymie.,SOUTHCV-OV N7433.4 .K6258 S83 2012
Presence /,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",[2009].,16 unnumbered pages : color illustrations ;,,Curious Pursuits Press.,Unique books--North Carolina--Boone Artists' books--North Carolina--Boone Watercolors (paintings),SOUTHERNCV N7433.4 .S43 P74 2009
"Tearings, and other poems /","DeLong, Jesse.",alu,"Curly Head Press,",[2010],[15] p. : color illustrations ;,"Rossow, Sonja Greentree.",Curly Head Press.,,SOUTHERNCV PS3604 .E4469 T43 2010
Birch /,"Rossow, Sonja Greentree.",alu,"Curly Head Press,",2010.,[10] p. : chiefly col. ill. ;,,Curly Head Press.,,SOUTHERNCV N7433.4 .R67 B57 2010
Holding down the fort : the joys and heartaches of being a military spouse /,"Rossow, Sonja Greentree.",alu,"Curly Head Press,",[2011],[63] p. : ill. ;,,Curly Head Press.,,SOUTHERNCV N7433.4 .R67 H65 2011
1970 : the four weddings /,"Schick, Ashley L.",gau,"Capybara Press,",2009.,[8] p. : col. ill. ;,,Capybara Press.,,SOUTHERNCV N7433.4 .S354 A18 2009
A natural history of believability : the believability of natural history /,"Ray, Michelle (Book artist)",alu,"[M. Ray],",2012.,[15] p. : col. ill. ;,,,,SOUTHERNCV N7433.4 .R387 N38 2012
Three ships.,"Ray, Michelle (Book artist)",alu,"Michelle Ray,",2012.,1 v. : col. ill. ;,,,,SOUTHERNCV N7433.4 .R387 T49 2012
Beware of rising waters /,"Sampson, Mary Ann.",alu,"The One-Eye Opera Co.,",2005.,[12] p. : all col. ill. ;,,OEOCO Press.,,SOUTHERNCV N7433.4 .S25 B493 2005
Elements /,,alu,"The University of Alabama,",2000.,1 folded sheet : col. ill. ;,"Bolick, Nannette. Miller, Steve, 1950- Sampson, Mary Ann. Moxon, Paul.",University of Alabama.,,SOUTHERNCV N7433.4 .E446 2000
